排名,沪深300ETF比例,中债新综合LOF比例,红利ETF比例,再平衡阈值,再平衡启用,策略A启用,策略B启用,累计总收益,年化收益,最大回撤,年化波动,夏普比率,卡玛比率
117,undefined%,20%,40%,2%,关,开,开,330.0235%,11.5625%,50.8642%,30.3243%,0.298900,0.227321
118,undefined%,20%,40%,2%,关,开,关,330.0235%,11.5625%,50.8642%,30.3243%,0.298900,0.227321
119,undefined%,20%,40%,3%,关,开,开,330.0235%,11.5625%,50.8642%,30.3243%,0.298900,0.227321
120,undefined%,20%,40%,3%,关,开,关,330.0235%,11.5625%,50.8642%,30.3243%,0.298900,0.227321
121,undefined%,20%,40%,1%,开,开,开,324.9391%,11.4631%,52.3718%,29.9972%,0.298800,0.218879
122,undefined%,20%,40%,1%,开,开,关,324.9391%,11.4631%,52.3718%,29.9972%,0.298800,0.218879
123,undefined%,20%,60%,3%,开,关,开,292.7518%,10.8064%,51.8233%,27.8272%,0.298500,0.208524
124,undefined%,20%,60%,3%,开,关,关,292.7518%,10.8064%,51.8233%,27.8272%,0.298500,0.208524
125,undefined%,20%,60%,1%,开,关,开,290.8239%,10.7655%,51.3471%,27.7584%,0.297800,0.209661
126,undefined%,20%,60%,1%,开,关,关,290.8239%,10.7655%,51.3471%,27.7584%,0.297800,0.209661
127,undefined%,0%,20%,2%,开,开,开,136.0807%,6.6555%,30.5407%,14.1955%,0.292700,0.217922
128,undefined%,0%,20%,2%,开,开,关,136.0807%,6.6555%,30.5407%,14.1955%,0.292700,0.217922
129,undefined%,0%,20%,1%,开,开,开,132.9564%,6.5490%,30.5670%,14.1487%,0.286200,0.214251
130,undefined%,0%,20%,1%,开,开,关,132.9564%,6.5490%,30.5670%,14.1487%,0.286200,0.214251
131,undefined%,20%,20%,1%,关,开,开,150.1689%,7.1203%,34.6143%,16.1643%,0.285800,0.205704
132,undefined%,20%,20%,1%,关,开,关,150.1689%,7.1203%,34.6143%,16.1643%,0.285800,0.205704
133,undefined%,20%,20%,2%,关,开,开,150.1689%,7.1203%,34.6143%,16.1643%,0.285800,0.205704
134,undefined%,20%,20%,2%,关,开,关,150.1689%,7.1203%,34.6143%,16.1643%,0.285800,0.205704
135,undefined%,20%,20%,3%,关,开,开,150.1689%,7.1203%,34.6143%,16.1643%,0.285800,0.205704
136,undefined%,20%,20%,3%,关,开,关,150.1689%,7.1203%,34.6143%,16.1643%,0.285800,0.205704
137,undefined%,80%,0%,3%,开,开,开,126.5495%,6.3263%,24.7220%,13.4602%,0.284300,0.255898
138,undefined%,80%,0%,3%,开,开,关,126.5495%,6.3263%,24.7220%,13.4602%,0.284300,0.255898
139,undefined%,0%,20%,1%,关,开,开,145.4318%,6.9668%,32.7733%,15.8090%,0.282500,0.212575
140,undefined%,0%,20%,1%,关,开,关,145.4318%,6.9668%,32.7733%,15.8090%,0.282500,0.212575
141,undefined%,0%,20%,2%,关,开,开,145.4318%,6.9668%,32.7733%,15.8090%,0.282500,0.212575
142,undefined%,0%,20%,2%,关,开,关,145.4318%,6.9668%,32.7733%,15.8090%,0.282500,0.212575
143,undefined%,0%,20%,3%,关,开,开,145.4318%,6.9668%,32.7733%,15.8090%,0.282500,0.212575
144,undefined%,0%,20%,3%,关,开,关,145.4318%,6.9668%,32.7733%,15.8090%,0.282500,0.212575
145,undefined%,20%,20%,3%,开,关,开,96.9125%,5.2140%,19.3521%,9.8383%,0.275900,0.269428
146,undefined%,20%,20%,3%,开,关,关,96.9125%,5.2140%,19.3521%,9.8383%,0.275900,0.269428
147,undefined%,0%,40%,1%,开,开,开,289.8914%,10.7457%,52.5482%,30.0231%,0.274600,0.204492
148,undefined%,0%,40%,1%,开,开,关,289.8914%,10.7457%,52.5482%,30.0231%,0.274600,0.204492
149,undefined%,0%,40%,2%,开,开,开,287.0886%,10.6858%,52.4592%,29.9250%,0.273500,0.203697
150,undefined%,0%,40%,2%,开,开,关,287.0886%,10.6858%,52.4592%,29.9250%,0.273500,0.203697
151,undefined%,0%,40%,3%,开,开,开,285.8488%,10.6591%,52.4409%,29.9501%,0.272400,0.203259
152,undefined%,0%,40%,3%,开,开,关,285.8488%,10.6591%,52.4409%,29.9501%,0.272400,0.203259
153,undefined%,20%,80%,3%,开,关,开,376.5479%,12.4255%,62.9740%,36.9131%,0.268900,0.197312
154,undefined%,20%,80%,3%,开,关,关,376.5479%,12.4255%,62.9740%,36.9131%,0.268900,0.197312
155,undefined%,80%,0%,1%,关,开,开,121.6114%,6.1507%,24.8457%,13.5827%,0.268800,0.247556
156,undefined%,80%,0%,1%,关,开,关,121.6114%,6.1507%,24.8457%,13.5827%,0.268800,0.247556
157,undefined%,80%,0%,2%,关,开,开,121.6114%,6.1507%,24.8457%,13.5827%,0.268800,0.247556
158,undefined%,80%,0%,2%,关,开,关,121.6114%,6.1507%,24.8457%,13.5827%,0.268800,0.247556
159,undefined%,80%,0%,3%,关,开,开,121.6114%,6.1507%,24.8457%,13.5827%,0.268800,0.247556
160,undefined%,80%,0%,3%,关,开,关,121.6114%,6.1507%,24.8457%,13.5827%,0.268800,0.247556
161,undefined%,20%,80%,1%,开,关,开,369.1019%,12.2928%,63.1005%,36.8705%,0.265600,0.194813
162,undefined%,20%,80%,1%,开,关,关,369.1019%,12.2928%,63.1005%,36.8705%,0.265600,0.194813
163,undefined%,20%,80%,2%,开,关,开,368.9504%,12.2901%,63.2327%,36.9083%,0.265300,0.194363
