排名,沪深300ETF比例,中债新综合LOF比例,红利ETF比例,再平衡阈值,再平衡启用,策略A启用,策略B启用,累计总收益,年化收益,最大回撤,年化波动,夏普比率,卡玛比率
220,0%,20%,80%,1%,关,开,关,301.2991%,10.9855%,59.1090%,35.3758%,0.239900,0.185852
221,0%,20%,80%,2%,关,开,开,301.2991%,10.9855%,59.1090%,35.3758%,0.239900,0.185852
222,0%,20%,80%,2%,关,开,关,301.2991%,10.9855%,59.1090%,35.3758%,0.239900,0.185852
223,0%,20%,80%,3%,关,开,开,301.2991%,10.9855%,59.1090%,35.3758%,0.239900,0.185852
224,0%,20%,80%,3%,关,开,关,301.2991%,10.9855%,59.1090%,35.3758%,0.239900,0.185852
225,40%,0%,60%,2%,开,开,开,272.6065%,10.3696%,59.1344%,32.8578%,0.239500,0.175356
226,40%,0%,60%,2%,开,开,关,272.6065%,10.3696%,59.1344%,32.8578%,0.239500,0.175356
227,40%,0%,60%,1%,开,开,开,272.2788%,10.3624%,59.1416%,32.8455%,0.239400,0.175213
228,40%,0%,60%,1%,开,开,关,272.2788%,10.3624%,59.1416%,32.8455%,0.239400,0.175213
229,40%,0%,60%,3%,开,关,开,316.6071%,11.2976%,61.4525%,36.7583%,0.239300,0.183843
230,40%,0%,60%,3%,开,关,关,316.6071%,11.2976%,61.4525%,36.7583%,0.239300,0.183843
231,60%,0%,40%,2%,开,关,开,272.4782%,10.3668%,58.6794%,32.8718%,0.239300,0.176668
232,60%,0%,40%,2%,开,关,关,272.4782%,10.3668%,58.6794%,32.8718%,0.239300,0.176668
233,40%,0%,60%,3%,开,开,开,271.3467%,10.3416%,59.1578%,32.8619%,0.238600,0.174814
234,40%,0%,60%,3%,开,开,关,271.3467%,10.3416%,59.1578%,32.8619%,0.238600,0.174814
235,80%,20%,0%,1%,开,关,开,170.6636%,7.7548%,43.3786%,22.1855%,0.236900,0.178770
236,80%,20%,0%,1%,开,关,关,170.6636%,7.7548%,43.3786%,22.1855%,0.236900,0.178770
237,60%,0%,40%,1%,关,开,开,240.0290%,9.6148%,56.6548%,30.0872%,0.236500,0.169708
238,60%,0%,40%,1%,关,开,关,240.0290%,9.6148%,56.6548%,30.0872%,0.236500,0.169708
239,60%,0%,40%,2%,关,开,开,240.0290%,9.6148%,56.6548%,30.0872%,0.236500,0.169708
240,60%,0%,40%,2%,关,开,关,240.0290%,9.6148%,56.6548%,30.0872%,0.236500,0.169708
241,60%,0%,40%,3%,关,开,开,240.0290%,9.6148%,56.6548%,30.0872%,0.236500,0.169708
242,60%,0%,40%,3%,关,开,关,240.0290%,9.6148%,56.6548%,30.0872%,0.236500,0.169708
243,40%,40%,20%,1%,关,关,开,161.4831%,7.4763%,45.7566%,21.0813%,0.236100,0.163393
244,40%,40%,20%,1%,关,关,关,161.4831%,7.4763%,45.7566%,21.0813%,0.236100,0.163393
245,40%,40%,20%,2%,关,关,开,161.4831%,7.4763%,45.7566%,21.0813%,0.236100,0.163393
246,40%,40%,20%,2%,关,关,关,161.4831%,7.4763%,45.7566%,21.0813%,0.236100,0.163393
